program,n,threads,time
omp_matrixmult.c,8000,4,54.787548
omp_matrixmult.c,8000,8,40.998433
omp_matrixmult.c,8000,16,33.753195
omp_matrixmult.c,8000,24,24.386687
omp_matrixmult.c,10000,4,104.92351
omp_matrixmult.c,10000,8,80.005375
omp_matrixmult.c,10000,16,68.088727
omp_matrixmult.c,10000,24,47.130171
omp_matrixmult.c,15000,8,270.632923
omp_matrixmult.c,15000,16,233.076
omp_matrixmult.c,15000,24,160.386777
omp_matrixmult_tiling.c,8000,4,15.6954
omp_matrixmult_tiling.c,8000,8,8.056648
omp_matrixmult_tiling.c,8000,16,6.576723
omp_matrixmult_tiling.c,8000,24,5.551112
omp_matrixmult_tiling.c,10000,4,30.644243
omp_matrixmult_tiling.c,10000,8,15.717583
omp_matrixmult_tiling.c,10000,16,12.334311
omp_matrixmult_tiling.c,10000,24,10.71788
omp_matrixmult_tiling.c,15000,4,103.456015
omp_matrixmult_tiling.c,15000,8,52.723366
omp_matrixmult_tiling.c,15000,16,42.32572
omp_matrixmult_tiling.c,15000,24,38.135397
